9482 4156  14 8.571428571428571
8266 4156  14 8.090579710144928
603787 45375  30 8.048543689320388
838173 67145  -1 8.024
738273 57775  37 8.006024096385541
685066 86447  94 7.989189189189189
326495 43714  -1 7.928082191780822
192870 5286  36 7.8881578947368425
613913 66952  -1 7.885542168674699
81132 5391  43 7.868020304568528
703069 27133  -1 7.861538461538461
600119 68956  -1 7.8544303797468356
13873 1717  56 7.853881278538813
540929 17990  35 7.807106598984771
5297 1993  55 7.804794520547945
99123 200  49 7.804034582132565
618614 27133  -1 7.802955665024631
728615 55838  -1 7.780487804878049
305911 18552  61 7.773869346733668
106953 1368  41 7.768656716417911
819625 105957  -1 7.76303317535545
404406 16241  -1 7.731843575418995
49033 714  47 7.722972972972973
926730 86447  94 7.692682926829268
353994 5112  64 7.682051282051282
486506 29949  33 7.675889328063241
70503 11078  68 7.666666666666667
440344 52549  -1 7.662037037037037
102742 714  47 7.655
751437 24454  -1 7.649606299212598
228910 714  47 7.646103896103896
957023 121949  42 7.638655462184874
867395 69668  46 7.636363636363637
9663 714  47 7.632183908045977
438703 57886  -1 7.621428571428571
941565 103142  51 7.6075949367088604
550342 56797  37 7.596858638743456
514119 66597  45 7.5964912280701755
274847 7969  49 7.595022624434389
655756 24454  -1 7.578378378378378
86800 1368  41 7.577272727272727
794964 27133  -1 7.575949367088608
93749 5286  36 7.573529411764706
684206 69668  46 7.572916666666667
598187 66597  45 7.553672316384181
39802 714  47 7.546583850931677
498973 65886  35 7.546391752577319
26079 714  47 7.546218487394958
841016 61654  44 7.542986425339366
674226 73250  -1 7.542253521126761
819855 87808  97 7.542056074766355
163935 29451  35 7.538775510204082
949628 52549  -1 7.537037037037037
619791 43298  28 7.533333333333333
741212 27133  -1 7.52991452991453
216104 714  47 7.5266457680250785
456445 28172  -1 7.526104417670683
211896 1368  41 7.523809523809524
830514 86447  94 7.518518518518518
681967 52549  -1 7.518134715025907
446553 20941  62 7.514814814814815
362294 36382  -1 7.513409961685824
406551 16241  -1 7.511415525114155
955765 103142  51 7.506912442396313
916290 27133  -1 7.50462962962963
790340 43774  51 7.5
